id,Star_name,Distance,Mass,Radius
0,Pisces,+21° 15′ 02″,36.1,K0V+T7.5
1,Cancer,14°  59 ′  39.6″,66,L8
2,Pictor,−58° 03′ 15″,66.6,K2V
3,Hydra,–34° 36′ 17″,163.08,M1
4,Chamaeleon,–76° 27′ 19″,538,K7
5,Corona Borealis,30° 14′ 56″,58.3,L8
6,Ursa Major,+50° 23′ 23″,50.2,M2.5
7,Boötes,9° 17′ 13.98″,103,D4A+L4
8,Libra,−21° 24′ 56″,19.0,K4V+M1V+M3V
9,Pisces,+17° 03′ 55.7″,155.3,M3V
10,Ursa Major,+41° 13′ 46.31″,126.2,F7IV
11,Musca,–70° 11′ 41″,337.25,B9Vne
12,Pegasus,+14° 46′ 7.8″,58.3,T2.5
13,Sculptor,－33°  16 ′  26.6″,,M8.5V
14,Scorpius,–18° 18′ 43″,473,M7
15,Sculptor,−34° 42′ 39″,330,DA
16,Pictor,–48° 14′ 23″,139,M2
17,Monoceros,+6° 11′ 10.5″,,F7V
18,Ursa Major,+31° 32′ 15″,25.11,F8.5V
19,Andromeda,+41° 24′ 20″,43.9,F8V
20,Lyra,+33° 13′ 19″,51.9,G8V
21,Virgo,–09° 50′ 03″,53.81,K0V
22,Eridanus,–04° 25′ 06″,66.6,K5V
23,Canes Venatici,+51° 45′ 40″,55.44,K3V
24,Hydra,–15° 28′ 48″,81.54,G1V
25,Gemini,+30° 14′ 43″,302,K2III
26,Ursa Major,+47° 21′ 07″,698,G4
27,Aquarius,–03° 50′ 55″,58.7,K4V
28,Perseus,+38° 37′ 07″,163,G5V
29,Triangulum,+32° 18′ 59″,603.4,K2II
30,Fornax,–24° 58′ 30″,83.92,K2V
31,Andromeda,+34° 34′ 47″,124.75,F7V
32,Crux,−61° 52′ 18″,7097,MIII?
33,Boötes,+16° 06′ 04″,31.5,M3V
34,Perseus,+42° 07′ 25″,146.77,G2V
35,Chamaeleon,−77° 40′ 08″,522,M6.5
36,Monoceros,+0° 13′ 37″,4000,G2V
37,Serpens,–09° 35′ 34″,123.5,G5
38,Orion,+01° 10′ 05″,138,G4IV
39,Indus,–56° 47′ 09″,11.8,K5V
40,Virgo,−08° 40′ 17″,590,sdB+M
41,Virgo,12°  21 ′  14.7″,37.55,P
42,Sculptor,−37° 58′ 57.48″,136,G5V
43,Lepus,–21° 51′ 42″,19,M1V
44,Octans,－81° 40′ 29.3″,111,L3γ
45,Indus,–56° 47′ 09″,11.8,K5V
46,Apus,−73° 32′ 07″,180.8,G3V
47,Serpens,−01° 35′ 32″,171,F9V
48,Corona Borealis,+28° 28′ 12″,156.42,G0V
49,Lupus,–35° 39′ 03″,400,K7eV
50,Scorpius,–40° 19′ 06″,101.95,K2V
51,Ophiuchus,−09° 46′ 25″,152.8,K0III
52,Telescopium,−59° 12′ 35″,127.52,G4IV
53,Pavo,−63° 57′ 43″,12.57,M8.5V
54,Aquila,+00° 07′ 19″,2220,G0V
55,Scorpius,−42° 42′ 09.0″,4833,B0IVe
56,Sagitta,+17° 04′ 13″,57.7,G1V
57,Delphinus,+14° 40′ 27″,220,A3V
58,Capricornus,–20° 47′ 20″,151.14,G6V
